what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1279159839502
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1279159839503
started,bundle,org.eclipse.team.core,3.5.100.I20100527-0800,"org.eclipse.team.core",1279159839503
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1279159839504
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1279159839505
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1279159839506
started,bundle,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui",1279159839507
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1279159839507
started,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1279159839507
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1279159839508
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1279159839509
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1279159839510
started,bundle,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.resources",1279159839511
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1279159839511
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1279159839512
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1279159839512
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1279159839513
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1279159839514
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1279159839514
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1279159839515
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1279159839515
started,bundle,org.eclipse.wst.common.emf,1.2.0.v201005200700,"org.eclipse.wst.common.emf",1279159839516
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.0.v201004110600,"org.eclipse.wst.common.emfworkbench.integration",1279159839516
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1279159839517
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.0.v201004080500,"org.eclipse.wst.common.frameworks.ui",1279159839518
started,bundle,org.eclipse.wst.common.modulecore,1.2.0.v201005200200,"org.eclipse.wst.common.modulecore",1279159839518
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.100.v201005190114,"org.eclipse.wst.common.project.facet.core",1279159839519
started,bundle,org.eclipse.wst.jsdt.core,1.1.0.v201006030738,"org.eclipse.wst.jsdt.core",1279159839520
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.0.v201005250108,"org.eclipse.wst.jsdt.debug.ui",1279159839520
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1279159839521
started,bundle,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui",1279159839523
started,bundle,org.eclipse.wst.validation,1.2.200.v201005271900,"org.eclipse.wst.validation",1279159839524
started,bundle,org.eclipse.wst.web,1.1.400.v201005270700,"org.eclipse.wst.web",1279159839524
started,bundle,org.eclipse.wst.xml.core,1.1.500.v201005271618,"org.eclipse.wst.xml.core",1279159839525
os,sysinfo,,,"win32",1279159839528
arch,sysinfo,,,"x86_64",1279159839528
ws,sysinfo,,,"win32",1279159839528
locale,sysinfo,,,"ja_JP",1279159839528
processors,sysinfo,,,"8",1279159839528
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1279159839528
java.runtime.version,sysinfo,,,"1.6.0_20-b02",1279159839528
java.specification.name,sysinfo,,,"Java Platform API Specification",1279159839528
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1279159839528
java.specification.version,sysinfo,,,"1.6",1279159839528
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1279159839528
java.version,sysinfo,,,"1.6.0_20",1279159839528
java.vm.info,sysinfo,,,"mixed mode",1279159839528
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1279159839528
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1279159839528
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1279159839528
java.vm.specification.version,sysinfo,,,"1.0",1279159839528
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1279159839528
java.vm.version,sysinfo,,,"16.3-b01",1279159839528
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279159840912
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279159918182
started,bundle,com.sysdeo.eclipse.tomcat,3.2.1,"com.sysdeo.eclipse.tomcat",1279159919758
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1279159919814
started,bundle,org.eclipse.jdt.debug,3.6.0.v20100526,"org.eclipse.jdt.debug",1279159920063
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1279159920220
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279159925380
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279160017405
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1279160017429
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.integration",1279160017435
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1279160017438
started,bundle,org.eclipse.wst.sse.core,1.1.500.v201006020308,"org.eclipse.wst.sse.core",1279160017958
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.202.v201004211732,"org.eclipse.wst.ws.service.policy.ui",1279160018183
started,bundle,org.eclipse.wst.ws.service.policy,1.0.203.v201004211732,"org.eclipse.wst.ws.service.policy",1279160018184
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1279160018192
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1279160018193
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1279160018313
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279160020123
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279160108071
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1279160108082
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1279160108750
started,bundle,org.eclipse.wst.server.core,1.1.202.v20100518,"org.eclipse.wst.server.core",1279160110195
started,bundle,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui",1279160110220
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1279160114937
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279160120977
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279160125223
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.100.v201004290328,"org.eclipse.wst.xsl.debug.ui",1279160126081
